Galaxy,NetCounts,Brightness,Area,Coordinates,Eccentricity
2749,946.7450980392168,17.85941733711813,44.0,"(2538.5227272727275, 2111.8636363636365)",0.3746405100519408
2750,-54231.578313253005,nan,86.0,"(2546.5232558139537, 729.953488372093)",0.8913435955383958
2751,-6770.476377952757,nan,11.0,"(2539.0, 403.8181818181818)",0.8333333333333334
2752,-3089.7154150197675,nan,25.0,"(2539.92, 941.6)",0.7298152252961688
2753,2648.8588235294155,16.74235296929656,37.0,"(2540.837837837838, 1425.2972972972973)",0.7970871856236739
2754,1551.2857142857174,17.323270517216248,43.0,"(2543.6279069767443, 168.0)",0.6735254619990012
2755,-39224.614285714284,nan,40.0,"(2547.875, 1.325)",0.9388019665313557
2756,1125.9838709677351,17.671169576109286,60.0,"(2544.7166666666667, 503.01666666666665)",0.522260542269513
2757,174009.51953125,12.19856748034518,1181.0,"(2565.618966977138, 1001.7222692633361)",0.6238885143150132
2758,-692.2471042471007,nan,32.0,"(2545.75, 1449.625)",0.6153530890890474
2759,-4011.9444444444453,nan,39.0,"(2546.102564102564, 1523.4358974358975)",0.44112097614615714
2760,-8445.611764705885,nan,22.0,"(2545.1363636363635, 1399.6818181818182)",0.7939921282550022
2761,5081.364705882355,16.035049083149367,122.0,"(2549.1721311475408, 1938.1639344262296)",0.5185384559632101
2762,-2737.9199999999983,nan,14.0,"(2547.785714285714, 1288.0)",0.816509152648909
2763,318.98443579766536,19.040576267373453,9.0,"(2549.3333333333335, 607.2222222222222)",0.6193146329215059
2764,523.6567164179105,18.502383304589983,8.0,"(2548.5, 791.5)",0.0
2765,-9151.35546875,nan,20.0,"(2549.3, 1613.2)",0.6999286015400837
2766,546.4724409448827,18.456079337475796,26.0,"(2551.1923076923076, 1732.5)",0.7959506503579127
2767,2578.6349206349187,16.771525350720452,35.0,"(2553.114285714286, 1226.7142857142858)",0.352358849042003
2768,3777.5,16.35698881747234,108.0,"(2556.8611111111113, 552.6666666666666)",0.1463145296036012
2769,3151.1181102362316,16.5538382957285,74.0,"(2556.5405405405404, 1782.081081081081)",0.6442840419481821
2770,128894.85658914724,12.52441103088955,416.0,"(2565.8798076923076, 1180.0096153846155)",0.2992978852956269
2771,-6650.755905511811,nan,10.0,"(2556.5, 363.8)",0.8821788200284488
2772,-2780.631372549018,nan,21.0,"(2556.6666666666665, 522.6190476190476)",0.7875869391224757
2773,1280.234375,17.53177628984247,27.0,"(2557.740740740741, 2045.3333333333333)",0.6532055987750857
2774,189.54117647058774,19.605741070158324,10.0,"(2556.6, 2106.9)",0.5990326936801466
2775,4715.988636363632,16.116068125126912,51.0,"(2560.0196078431372, 924.0)",0.5480926832081486
2776,-3049.751968503937,nan,21.0,"(2558.190476190476, 1875.1904761904761)",0.7719039741788611
2777,2935.9055118110264,16.630644814294048,72.0,"(2561.527777777778, 303.75)",0.5870608230791217
2778,2278.2173913043516,16.90601209293896,55.0,"(2560.672727272727, 620.4727272727273)",0.7306307323776352
2779,-2437.418604651164,nan,23.0,"(2558.8695652173915, 892.8695652173913)",0.7443455878303935
2780,149.2490118577116,19.865221338874438,44.0,"(2561.4545454545455, 1030.8636363636363)",0.5391166691463097
2781,308.3003952569161,19.07756479621335,11.0,"(2558.909090909091, 2025.5454545454545)",0.8037264208492264
2782,1252.243902439026,17.555777685866996,8.0,"(2558.5, 1025.0)",0.9325316965091067
2783,-3449.89723320158,nan,8.0,"(2560.375, 986.125)",0.8537954490857292
2784,2186.4285714285725,16.95066176520226,37.0,"(2562.0810810810813, 1528.8108108108108)",0.6886350895681609
2785,32824.95999999999,14.009489486157127,213.0,"(2567.4882629107983, 1736.0657276995305)",0.4680646514893688
2786,6590.937007874018,15.752632097649473,109.0,"(2566.8440366972477, 1542.7064220183486)",0.39649017355253113
2787,4933.177865612655,16.067183064445434,90.0,"(2565.188888888889, 483.0444444444444)",0.714775006091455
2788,68810.31075697206,13.205866202036635,341.0,"(2577.9560117302053, 56.24340175953079)",0.7539769559625349
2789,-336.9566929133871,nan,27.0,"(2568.814814814815, 1045.148148148148)",0.5174998638180516
2790,225.84980237154377,19.415450712822725,11.0,"(2568.090909090909, 434.6363636363636)",0.7376502707905419
2791,3114.1872509960085,16.566638193911267,63.0,"(2569.7936507936506, 2093.095238095238)",0.22340359786433656
2792,16679.78571428574,14.744523832642141,271.0,"(2576.6236162361624, 572.9446494464945)",0.63743092425506
2793,-3135.6349206349187,nan,8.0,"(2569.125, 664.25)",0.7290984669486094
2794,2144.711538461539,16.971577779302862,28.0,"(2568.9285714285716, 1233.0)",0.6437547475426849
2795,1194.5357142857138,17.607002152907192,20.0,"(2571.05, 1511.65)",0.7759945873700478
2796,818.677165354331,18.0172183070935,8.0,"(2571.625, 1236.375)",0.7834311777070759
2797,740.3241106719397,18.126445266010705,28.0,"(2573.714285714286, 1867.892857142857)",0.4718945713936974
2798,-591.6880000000019,nan,22.0,"(2574.0, 715.4545454545455)",0.7977543128982828
2799,17812.181818181823,14.673207201122686,133.0,"(2580.1127819548874, 1410.187969924812)",0.6129069021335621
2800,2475.5936254980043,16.815801610648705,68.0,"(2578.764705882353, 757.0735294117648)",0.5413527106791394
2801,-20924.286274509795,nan,89.0,"(2578.752808988764, 1614.4719101123596)",0.8832176440319928
2802,2875.7479999999996,16.653122933939574,63.0,"(2580.936507936508, 1136.4920634920634)",0.3378658282467276
2803,-2846.6521739130476,nan,28.0,"(2580.3571428571427, 483.4642857142857)",0.4503473491924941
2804,1479.9133858267742,17.374409254009624,34.0,"(2579.235294117647, 1224.235294117647)",0.7942639659000185
2805,-2222.9920634920636,nan,29.0,"(2579.655172413793, 1330.9655172413793)",0.2981435994968126
2806,219.24803149606305,19.447660743071687,12.0,"(2578.1666666666665, 1854.9166666666667)",0.6673823562652268
2807,27713.96062992126,14.19325351080564,233.0,"(2587.1587982832616, 2093.5708154506437)",0.5268510220239881
2808,-6700.217898832685,nan,12.0,"(2580.25, 2081.6666666666665)",0.9253206461294671
2809,982.6023622047287,17.819055490358362,40.0,"(2582.8, 2189.175)",0.5290316296337543
2810,-59129.30434782608,nan,52.0,"(2584.923076923077, 706.6346153846154)",0.833215891996251
2811,218.09411764705874,19.453390119729022,10.0,"(2582.1, 1960.4)",0.8612689656622491
2812,874.1428571428551,17.946043967044023,42.0,"(2585.6190476190477, 224.95238095238096)",0.5291114869889726
2813,1511.8928571428587,17.351197461902444,35.0,"(2587.885714285714, 392.74285714285713)",0.21790368846810704
2814,704.0389105058348,18.18100834450626,27.0,"(2589.222222222222, 195.40740740740742)",0.7459793360053318
2815,-2422.37109375,nan,14.0,"(2587.6428571428573, 716.7142857142857)",0.7861531037746029
2816,-2890.5537848605563,nan,14.0,"(2587.214285714286, 993.8571428571429)",0.8519283288959852
2817,9535.894117647083,15.351596449477533,123.0,"(2593.6666666666665, 1593.4552845528456)",0.7035488244384958
2818,-1430.9322709163243,nan,45.0,"(2591.088888888889, 1828.2222222222222)",0.8075513910166622
2819,-2600.407114624504,nan,17.0,"(2591.529411764706, 1107.6470588235295)",0.792079272473856
2820,2162.0952380952367,16.96281294932836,41.0,"(2593.682926829268, 1048.9756097560976)",0.6316381490757784
2821,7508.984790874529,15.611046938290007,83.0,"(2595.9518072289156, 1146.012048192771)",0.400612205004343
2822,3513.165354330704,16.435753521916638,85.0,"(2594.5882352941176, 2033.3882352941177)",0.3572124285501834
2823,-5685.151750972771,nan,47.0,"(2595.7021276595747, 1728.3191489361702)",0.7063967715023645
2824,5070.887159533071,16.03729013382425,56.0,"(2595.25, 2269.3035714285716)",0.6228387481307254
2825,-1750.7322834645747,nan,48.0,"(2596.1458333333335, 1274.6875)",0.8161484539400721
2826,-679.8661417322874,nan,25.0,"(2595.36, 1454.0)",0.8147581948027047
2827,2562.519230769234,16.77833216675694,57.0,"(2597.5789473684213, 1635.4736842105262)",0.60304747453994
2828,10504.591999999997,15.24655202749054,48.0,"(2598.0625, 797.2708333333334)",0.5214840727579868
2829,1472.5217391304395,17.379845712294937,35.0,"(2596.3142857142857, 2074.114285714286)",0.5887953743305426
2830,-2916.996183206109,nan,17.0,"(2597.0588235294117, 1668.0)",0.7346335359476325
2831,3679.751968503937,16.38545363425395,54.0,"(2600.037037037037, 1545.8333333333333)",0.42924130156059287
2832,3721.722891566271,16.373139915697088,39.0,"(2601.7179487179487, 939.0769230769231)",0.7629785483735803
2833,-3929.385826771657,nan,24.0,"(2603.5, 1487.3333333333333)",0.8099635624251726
2834,24765.85714285716,14.315366591375106,156.0,"(2612.2628205128203, 1236.8846153846155)",0.7294221594679042
2835,7581.679999999993,15.60058637447952,121.0,"(2609.7272727272725, 1869.0826446280992)",0.4840983263619444
2836,13839.080000000016,14.947231950313004,157.0,"(2610.4012738853503, 1844.063694267516)",0.46356740532921575
2837,807.728682170542,18.03183623798911,37.0,"(2608.2972972972975, 694.7027027027027)",0.6308568637868017
2838,-36288.8078431373,nan,144.0,"(2612.6180555555557, 2056.4861111111113)",0.8435461555391454
2839,-2691.5490196078463,nan,19.0,"(2608.5263157894738, 98.73684210526316)",0.7173469193999253
2840,2226.28125,16.93104992838682,46.0,"(2609.4347826086955, 1100.2826086956522)",0.4867604528346602
2841,8141.024193548379,15.523302386540564,94.0,"(2614.5, 1583.0425531914893)",0.5511958264059731
2842,-254488.59999999986,nan,1358.0,"(2630.860088365243, 1810.5058910162004)",0.6442037460509469
2843,-4993.086614173233,nan,45.0,"(2611.6222222222223, 1164.3777777777777)",0.6843797032368101
2844,1415.328125,17.422857157669192,33.0,"(2613.3030303030305, 359.1818181818182)",0.24281861719953618
2845,6345.804780876497,15.793783231113832,95.0,"(2616.073684210526, 1602.4842105263158)",0.2273970232034091
2846,2802.2346153846156,16.681238766218257,43.0,"(2616.0, 524.8604651162791)",0.658385893214569
2847,161.28793774319092,19.780995277551394,12.0,"(2614.75, 2013.4166666666667)",0.6461621652955032
